specimen_id,species,length_mm,width_mm,shape
30181,Amanita bisporigera,13,11,subglobose
30182,Amanita suballiacea,27,47,ovoid
30183,Amanita cf. oberwinkleriana,27,22,subglobose
30184,Amanita suballiacea,20,24,subglobose
30185,Amanita cf. aurorae nom prov.,0,0,no bulb
30186,Amanita fusca,0,0,no bulb
30187,Amanita suballiacea,32,35,subglobose
30188,Amanita fuscozonata,0,0,no bulb
30189,Amanita rhacopus,0,0,no bulb
30190,Amanita frostiana,20,15,subglobose
30191,Amanita frostiana,15,18,subglobose
30192,Amanita chrysoblema,25,22,subglobose
30193,Amanita confundens,0,0,no bulb
30194,Amanita aff. fulva,0,0,no bulb
30195,Amanita amerivirosa,20,32,ovoid
30196,Amanita chrysoblema,35,27,fusiform
30197,Amanita chrysoblema,30,20,fusiform
30198,Amanita sinicoflava,0,0,no bulb
30199,Amanita bisporigera,22,22,globose
30200,Amanita bisporigera,15,13,subglobose
30201,Amanita flavoconia,15,11,fusiform
30202,Amanita porphyria,23,30,ovoid
30203,Amanita amerivirosa,25,30,ovoid
30204,Amanita amerivirosa,15,20,ovoid
30205,Amanita flavoconia,15,10,fusiform
30206,Amanita flavoconia,6,9,ovoid
30207,Amanita porphyria,10,22,ovoid
30208,Amanita cf. lavendula,20,23,subglobose
30209,Amanita amerivirosa,18,24,subglobose
30210,Amanita chrysoblema,,,
30211,Amanita chrysoblema,35,30,subglobose
30212,Amanita sp. 'GWA-ami1',21,19,globose
30213,Amanita cf. lavendula,17,30,ovoid
30214,Amanita cf. lavendula,10,20,ovoid
30215,Amanita centrascura,0,0,no bulb
30216,Amanita cf. lavendula,20,20,globose
30217,Amanita cf. lavendula,22,23,globose
30218,Amanita cf. lavendula,13,15,subglobose
30219,Amanita cf. lavendula,20,27,ovoid
30220,Amanita centrascura,0,0,no bulb
30221,Amanita multisquamosa,20,15,napiform
30222,Amanita multisquamosa,16,26,fusiform
30223,Amanita multisquamosa,22,15,fusiform
30224,Amanita multisquamosa,20,15,fusiform
30225,Amanita populiphila,10,18,napiform
30226,Amanita stranella,25,20,napiform
30227,Amanita stranella,15,10,napiform
30228,Amanita flavoconia,20,10,ovoid
30229,Amanita frostiana,15,13,subglobose
30230,Amanita amerirubescens nom prov.,20,20,globose
30231,Amanita amerirubescens nom prov.,13,22,
30232,Amanita amerirubescens nom prov.,15,18,subglobose
30233,Amanita rhacopus,0,0,no bulb
30234,Amanita rhacopus,0,0,no bulb
30235,Amanita solaniolens,7,9,ovoid
30236,Amanita solaniolens,30,14,
30237,Amanita confundens,,,
