specimen_id,species,sectionid,collector,lat,long,county,site,datecollected,microscopy,hosttree1_common,hosttree1_scientific,hosttree2_common,hosttree2_scientific
30181,Amanita bisporigera,Phalloideae,MH,43.228208,-89.733018,Dane,Lower Wisconsin State Riverway,8/25/24,yes,spruce,Picea,,
30182,Amanita suballiacea,Phalloideae,MH,43.126597,-89.370765,Dane,Warner Park,8/26/24,yes,red oak,Quercus rubra,,
30183,Amanita oberwinklerana,Roanokensis,MH,42.859437,-89.499095,Dane,Brooklyn Wildlife Area,8/28/24,yes,white oak,Quercus alba,,
30184,Amanita suballiacea,Phalloideae,MH,42.85954,-89.498477,Dane,Brooklyn Wildlife Area,8/28/24,yes,black oak,Quercus velutina,large toothed aspen,Populus deltoides
30185,Amanita sp aurorae,Vaginatae,MH,42.859634,-89.498441,Dane,Brooklyn Wildlife Area,8/28/24,yes,red oak,Quercus rubra,black oak,Quercus velutina
30186,Amanita fusca,Vaginatae,MH,42.857191,-89.497948,Dane,Brooklyn Wildlife Area,8/28/24,yes,white oak,Quercus alba,,
30187,Amanita suballiacea,Phalloideae,MH,42.858051,-89.499412,Dane,Brooklyn Wildlife Area,8/28/24,yes,red oak,Quercus rubra,,
30187_2,Amanita suballiacea,Phalloideae,MH,42.858051,-89.499412,Dane,Brooklyn Wildlife Area,8/28/24,yes,red oak,Quercus rubra,,
30187_3,Amanita suballiacea,Phalloideae,MH,42.858089,-89.499331,Dane,Brooklyn Wildlife Area,8/28/24,yes,red oak,Quercus rubra,,
30188,Amanita sp longicuneus,Vaginatae,MH,42.942406,-89.591319,Dane,Madison Metropolitan School Forest,8/29/24,yes,white oak,Quercus alba,,
30189,Amanita rhacopus,Vaginatae,MH,46.853603,-87.843934,Marquette (MI),North Ives Lake Trail,9/1/24,yes,eastern hemlock,Tsuga canadensis,,
30190,Amanita frostiana,Amanita,MH,46.854574,-87.851893,Marquette (MI),North Ives Lake Trail,9/1/24,yes,white pine,Pinus strobus,red pine,Pinus resinosa
30191,Amanita frostiana,Amanita,MH,46.854777,-87.851744,Marquette (MI),North Ives Lake Trail,9/1/24,yes,white pine,Pinus strobus,red pine,Pinus resinosa
30192,Amanita chrysoblema,Amanita,MH,46.855325,-87.857067,Marquette (MI),Mount Ives,9/1/24,yes,eastern hemlock,Tsuga canadensis,birch,Betula
30193,Amanita albiceps,Vaginatae,MH,46.85525,-87.85702,Marquette (MI),Mount Ives,9/1/24,yes,eastern hemlock,Tsuga canadensis,,
30193_2,Amanita albiceps,Vaginatae,MH,46.85525,-87.85702,Marquette (MI),Mount Ives,9/1/24,yes,eastern hemlock,Tsuga canadensis,,
30193_3,Amanita albiceps,Vaginatae,MH,46.85525,-87.85702,Marquette,Mount Ives,9/1/24,yes,eastern hemlock,Tsuga canadensis,,
30194,Amanita sp  vag1,Vaginatae,MH,46.878951,-87.866935,Marquette (MI),Mount Ives,9/1/24,yes,eastern hemlock,Tsuga canadensis,birch,Betula
30194_2,Amanita sp  vag2,Vaginatae,MH,46.878951,-87.866935,Marquette,Mount Ives,9/1/24,yes,eastern hemlock,Tsuga canadensis,birch,Betula
30195,Amanita amerivirosa,Phalloideae,MH,46.855326,-87.854777,Marquette (MI),East Pine Lake,9/1/24,yes,red pine,Pinus resinosa,white pine,Pinus strobus
30196,Amanita chrysoblema,Amanita,MH,46.379043,-86.467467,Alger country MI,Cusino,9/7/24,yes,eastern hemlock,Tsuga canadensis,birch,Betula
30197,Amanita chrysoblema,Amanita,MH,46.378762,-86.467939,Alger country MI,Cusino,9/7/24,yes,eastern hemlock,Tsuga canadensis,birch,Betula
30198,Amanita sinicoflava,Vaginatae,MH,46.37853,-86.468574,Alger country MI,Cusino,9/7/24,yes,eastern hemlock,Tsuga canadensis,birch,Betula
30199,Amanita bisporigera,Phalloideae,MH,46.377907,-86.468248,Alger country MI,Cusino,9/7/24,yes,eastern hemlock,Tsuga canadensis,birch,Betula
30199_2,Amanita bisporigera,Phalloideae,MH,46.377907,-86.468248,Alger country MI,Cusino,9/7/24,yes,eastern hemlock,Tsuga canadensis,birch,Betula
30199_3,Amanita bisporigera,Phalloideae,MH,46.377907,-86.468248,Alger country MI,Cusino,9/7/24,yes,eastern hemlock,Tsuga canadensis,birch,Betula
30199_4,Amanita bisporigera,Phalloideae,MH,46.377907,-86.468248,Alger country MI,Cusino,9/7/24,yes,eastern hemlock,Tsuga canadensis,birch,Betula
30200,Amanita bisporigera,Phalloideae,MH,46.377559,-86.46914,Alger country MI,Cusino,9/7/24,yes,fir,Abies,poplar,Populus
30201,Amanita flavoconia,Validae,MD,46.378936,-86.461572,Alger country MI,Cusino,9/7/24,yes,poplar,Populus,fir,Abies
30202,Amanita porphyria,Validae,MH,46.378844,-86.461312,Alger country MI,Cusino,9/7/24,yes,conifer,,,
