specimen_id,species,length_mm,width_mm,color,shape,decoration_bottom,decoration_top,staining,annulus,universal_veil,context_type,context_color,context_stain
30181,Amanita bisporigera,93,21,white,narrowing upward,fibrillose,smooth,not apparent,present,present,,,no
30182,Amanita suballiacea,75,62,white,narrowing upward,fibrillose,,not apparent,present,present,solid spongy,white,no
30183,Amanita cf. oberwinkleriana,93,7,white light yellow,narrowing upward,minutely fibrillose,smooth,not apparent,present,present,,,no
30184,Amanita suballiacea,112,8,white light yellow,narrowing upward,flocculose,smooth,not apparent,present,present,spongy,cream,no
30185,Amanita cf. aurorae nom prov.,55,4,light orange,narrowing upward,fuzzy,,not apparent,absent,present,,,no
30186,Amanita fusca,24,5,white light brown,narrowing upward,minutely scabrous,,grey,absent,present,,,no
30187,Amanita suballiacea,125,18,white,cylindrical,floccose,scabrous,not apparent,present,present,,,no
30188,Amanita fuscozonata,42,2,white light brown,narrowing upward,minutely scabrous,,not apparent,absent,present,,,no
30189,Amanita rhacopus,115,10,light brown white,narrowing upward,scabrous,,not apparent,absent,present,stuffed,white,no
30190,Amanita frostiana,55,9,white light yellow,cylindrical,floccose,,brown,present,present,stuffed,white,yellow
30191,Amanita frostiana,45,7, dingy white,narrowing upward,scabrous,,not apparent,present,present,stuffed,white,no
30192,Amanita chrysoblema,51,7, dingy white,cylindrical,streaking,streaking,not apparent,present,present,solid spongy,white,no
30193,Amanita confundens,97,8,white,narrowing upward,smooth,,not apparent,absent,present,,,no
30194,Amanita aff. fulva,100,6, dingy white,narrowing upward,smooth,,not apparent,absent,present,barely stuffed,white,no
30195,Amanita amerivirosa,147,9, dingy white,narrowing upward,scabrous,,not apparent,present,present,solid-spongy,white,no
30196,Amanita chrysoblema,60,14,light yellow,narrowing upward,minutely fibrillose,,not apparent,absent,present,,,no
30197,Amanita chrysoblema,85,9, dingy yellow white,cylindrical,floccose,,not apparent,absent,absent,,,no
30198,Amanita sinicoflava,90,7,light brown white,narrowing upward,scabrous,smooth,not apparent,absent,present,,,no
30199,Amanita bisporigera,125,10,white,cylindrical,flocculose,smooth,not apparent,present,present,stuffed,white,no
30200,Amanita bisporigera,50,6,light brown white,cylindrical,,,not apparent,absent,present,,,no
30201,Amanita flavoconia,48,5,light yellow,narrowing upward,smooth,smooth,not apparent,present,absent,hollow,white,no
30202,Amanita porphyria,105,7,grey brown,narrowing upward,scabrous,smooth,not apparent,present,absent,,,no
30203,Amanita amerivirosa,70,10,dingy white,cylindrical,,,not apparent,present,present,hollow,white,no
30204,Amanita amerivirosa,114,13,dingy white,narrowing upward,smooth,floccose,not apparent,present,absent,stuffed,white,no
30205,Amanita flavoconia,47,5,yellow brown,narrowing upward,smooth,smooth,not apparent,absent,absent,,,no
30206,Amanita flavoconia,37,4,yellow,narrowing upward,fibrillose,smooth,not apparent,present,absent,,,no
30207,Amanita porphyria,95,9,dingy white,narrowing upward,floccose,smooth,not apparent,present,present,,,no
30208,Amanita cf. lavendula,65,7,dingy white,cylindrical,smooth,smooth,not apparent,present,present,,,no
30209,Amanita amerivirosa,33,11,white,narrowing upward,scabrous,smooth,not apparent,present,present,,,no
30210,Amanita chrysoblema,75,9,light yellow,cylindrical,floccose,floccose,not apparent,present,present,,,no
30211,Amanita chrysoblema,,,,,,,,,,,,
30212,Amanita sp. 'GWA-ami1',45,6,white light brown,narrowing upward,floccose,scabrous,not apparent,absent,present,,,no
30213,Amanita cf. lavendula,120,8,white light yellow,cylindrical,minutely scabrous,smooth,not apparent,present,present,hollow,white,no
30214,Amanita cf. lavendula,60,5,white light yellow,cylindrical,smooth,smooth,not apparent,present,present,,,no
30215,Amanita centrascura,100,9,light grey white,cylindrical,smooth,smooth,not apparent,absent,present,,,no
30216,Amanita cf. lavendula,95,7,white light brown,cylindrical,minutely scabrous,smooth,grey,present,present,,,no
30217,Amanita cf. lavendula,73,8,white,narrowing upward,fibrillose,smooth,light brown,present,present,,,no
30218,Amanita cf. lavendula,70,5,light bright yellow,cylindrical,smooth,smooth,not apparent,present,present,,,no
