specimen_id,species,form,color,texture,attachment,distribution
30181,Amanita bisporigera,,,,,
30182,Amanita suballiacea,,,,,
30183,Amanita cf. oberwinkleriana,patches,white,membranous,adnate,5 margin
30184,Amanita suballiacea,,,,,
30185,Amanita cf. aurorae nom prov.,,,,,
30186,Amanita fusca,patches,white,membranous,adnate,1
30187,Amanita suballiacea,,,,,
30188,Amanita fuscozonata,patches,white,membranous,adnate,1 center
30189,Amanita rhacopus,patches,brown,submembranous,easily removed,5
30190,Amanita frostiana,warts,white,membranous,easily removed,3 margin
30191,Amanita frostiana,warts,white,membranous,easily removed,dense even
30192,Amanita chrysoblema,patches,dingy white brown,membranous,adnate,dense even
30193,Amanita confundens,,,,,
30194,Amanita aff. fulva,,,,,
30195,Amanita amerivirosa,,,,,
30196,Amanita chrysoblema,warts,dingy brown,membranous,easily removed,dense even
30197,Amanita chrysoblema,warts,dingy white,friable,,common even
30198,Amanita sinicoflava,,,,,
30199,Amanita bisporigera,,,,,
30200,Amanita bisporigera,,,,,
30201,Amanita flavoconia,patches,yellow,friable,easily removed,sparse even
30202,Amanita porphyria,,,,,
30203,Amanita amerivirosa,,,,,
30204,Amanita amerivirosa,,,,,
30205,Amanita flavoconia,warts,dingy white brown,membranous,adnate,center
30206,Amanita flavoconia,warts,dingy brown,friable,easily removed,sparse center
30207,Amanita porphyria,patches,dingy brown,membranous,easily removed,sparse uneven
30208,Amanita cf. lavendula,patches,dingy white,submembranous,easily removed,sparse
30209,Amanita amerivirosa,,,,,
30210,Amanita chrysoblema,warts,dingy white  brown,friable,easily removed,common
30211,Amanita chrysoblema,warts,white,membranous,adnate,dense even
30212,Amanita sp. 'GWA-ami1',patches,dingy white light brown,membranous,easily removed,sparse
30213,Amanita cf. lavendula,,,,,
30214,Amanita cf. lavendula,patches,dingy brown,membranous,easily removed,sparse center
30215,Amanita centrascura,,,,,
30216,Amanita cf. lavendula,patches,dingy white,membranous,adnate,sparse center
30217,Amanita cf. lavendula,powder,dingy white,pulverulent,easily removed,sparse margin
30218,Amanita cf. lavendula,,,,,
30219,Amanita cf. lavendula,patches,white,membranous,adnate,sparse margin
30220,Amanita centrascura,,,,,
